id,images
Cable_Internal_Rotation,"Cable_Internal_Rotation/0.jpg, Cable_Internal_Rotation/1.jpg"
Cable_Iron_Cross,"Cable_Iron_Cross/0.jpg, Cable_Iron_Cross/1.jpg"
Cable_Judo_Flip,"Cable_Judo_Flip/0.jpg, Cable_Judo_Flip/1.jpg"
Cable_Lying_Triceps_Extension,"Cable_Lying_Triceps_Extension/0.jpg, Cable_Lying_Triceps_Extension/1.jpg"
Cable_One_Arm_Tricep_Extension,"Cable_One_Arm_Tricep_Extension/0.jpg, Cable_One_Arm_Tricep_Extension/1.jpg"
Cable_Preacher_Curl,"Cable_Preacher_Curl/0.jpg, Cable_Preacher_Curl/1.jpg"
Cable_Rear_Delt_Fly,"Cable_Rear_Delt_Fly/0.jpg, Cable_Rear_Delt_Fly/1.jpg"
Cable_Reverse_Crunch,"Cable_Reverse_Crunch/0.jpg, Cable_Reverse_Crunch/1.jpg"
Cable_Rope_Overhead_Triceps_Extension,"Cable_Rope_Overhead_Triceps_Extension/0.jpg, Cable_Rope_Overhead_Triceps_Extension/1.jpg"
Cable_Rope_Rear-Delt_Rows,"Cable_Rope_Rear-Delt_Rows/0.jpg, Cable_Rope_Rear-Delt_Rows/1.jpg"
Cable_Russian_Twists,"Cable_Russian_Twists/0.jpg, Cable_Russian_Twists/1.jpg"
Cable_Seated_Crunch,"Cable_Seated_Crunch/0.jpg, Cable_Seated_Crunch/1.jpg"
Cable_Seated_Lateral_Raise,"Cable_Seated_Lateral_Raise/0.jpg, Cable_Seated_Lateral_Raise/1.jpg"
Cable_Shoulder_Press,"Cable_Shoulder_Press/0.jpg, Cable_Shoulder_Press/1.jpg"
Cable_Shrugs,"Cable_Shrugs/0.jpg, Cable_Shrugs/1.jpg"
Cable_Wrist_Curl,"Cable_Wrist_Curl/0.jpg, Cable_Wrist_Curl/1.jpg"
Calf-Machine_Shoulder_Shrug,"Calf-Machine_Shoulder_Shrug/0.jpg, Calf-Machine_Shoulder_Shrug/1.jpg"
Calf_Press,"Calf_Press/0.jpg, Calf_Press/1.jpg"
Calf_Press_On_The_Leg_Press_Machine,"Calf_Press_On_The_Leg_Press_Machine/0.jpg, Calf_Press_On_The_Leg_Press_Machine/1.jpg"
Calf_Raises_-_With_Bands,"Calf_Raises_-_With_Bands/0.jpg, Calf_Raises_-_With_Bands/1.jpg"
Calf_Raise_On_A_Dumbbell,"Calf_Raise_On_A_Dumbbell/0.jpg, Calf_Raise_On_A_Dumbbell/1.jpg"
Calf_Stretch_Elbows_Against_Wall,"Calf_Stretch_Elbows_Against_Wall/0.jpg, Calf_Stretch_Elbows_Against_Wall/1.jpg"
Calf_Stretch_Hands_Against_Wall,"Calf_Stretch_Hands_Against_Wall/0.jpg, Calf_Stretch_Hands_Against_Wall/1.jpg"
Calves-SMR,"Calves-SMR/0.jpg, Calves-SMR/1.jpg"
Carioca_Quick_Step,"Carioca_Quick_Step/0.jpg, Carioca_Quick_Step/1.jpg"
Car_Deadlift,"Car_Deadlift/0.jpg, Car_Deadlift/1.jpg"
Car_Drivers,"Car_Drivers/0.jpg, Car_Drivers/1.jpg"
Catch_and_Overhead_Throw,"Catch_and_Overhead_Throw/0.jpg, Catch_and_Overhead_Throw/1.jpg"
Cat_Stretch,"Cat_Stretch/0.jpg, Cat_Stretch/1.jpg"
Chain_Handle_Extension,"Chain_Handle_Extension/0.jpg, Chain_Handle_Extension/1.jpg"
Chain_Press,"Chain_Press/0.jpg, Chain_Press/1.jpg"
Chair_Leg_Extended_Stretch,"Chair_Leg_Extended_Stretch/0.jpg, Chair_Leg_Extended_Stretch/1.jpg"
Chair_Lower_Back_Stretch,"Chair_Lower_Back_Stretch/0.jpg, Chair_Lower_Back_Stretch/1.jpg"
Chair_Squat,"Chair_Squat/0.jpg, Chair_Squat/1.jpg"
Chair_Upper_Body_Stretch,"Chair_Upper_Body_Stretch/0.jpg, Chair_Upper_Body_Stretch/1.jpg"
Chest_And_Front_Of_Shoulder_Stretch,"Chest_And_Front_Of_Shoulder_Stretch/0.jpg, Chest_And_Front_Of_Shoulder_Stretch/1.jpg"
Chest_Push_from_3_point_stance,"Chest_Push_from_3_point_stance/0.jpg, Chest_Push_from_3_point_stance/1.jpg"
Chest_Push_multiple_response,"Chest_Push_multiple_response/0.jpg, Chest_Push_multiple_response/1.jpg"
Chest_Push_single_response,"Chest_Push_single_response/0.jpg, Chest_Push_single_response/1.jpg"
Chest_Push_with_Run_Release,"Chest_Push_with_Run_Release/0.jpg, Chest_Push_with_Run_Release/1.jpg"
Chest_Stretch_on_Stability_Ball,"Chest_Stretch_on_Stability_Ball/0.jpg, Chest_Stretch_on_Stability_Ball/1.jpg"
Childs_Pose,"Childs_Pose/0.jpg, Childs_Pose/1.jpg"
Chin-Up,"Chin-Up/0.jpg, Chin-Up/1.jpg"
Chin_To_Chest_Stretch,"Chin_To_Chest_Stretch/0.jpg, Chin_To_Chest_Stretch/1.jpg"
Circus_Bell,"Circus_Bell/0.jpg, Circus_Bell/1.jpg"
Clean,"Clean/0.jpg, Clean/1.jpg"
Clean_and_Jerk,"Clean_and_Jerk/0.jpg, Clean_and_Jerk/1.jpg"
Clean_and_Press,"Clean_and_Press/0.jpg, Clean_and_Press/1.jpg"
Clean_Deadlift,"Clean_Deadlift/0.jpg, Clean_Deadlift/1.jpg"
Clean_from_Blocks,"Clean_from_Blocks/0.jpg, Clean_from_Blocks/1.jpg"
Clean_Pull,"Clean_Pull/0.jpg, Clean_Pull/1.jpg"
Clean_Shrug,"Clean_Shrug/0.jpg, Clean_Shrug/1.jpg"
Clock_Push-Up,"Clock_Push-Up/0.jpg, Clock_Push-Up/1.jpg"
Close-Grip_Barbell_Bench_Press,"Close-Grip_Barbell_Bench_Press/0.jpg, Close-Grip_Barbell_Bench_Press/1.jpg"
Close-Grip_Dumbbell_Press,"Close-Grip_Dumbbell_Press/0.jpg, Close-Grip_Dumbbell_Press/1.jpg"
Close-Grip_EZ-Bar_Curl_with_Band,"Close-Grip_EZ-Bar_Curl_with_Band/0.jpg, Close-Grip_EZ-Bar_Curl_with_Band/1.jpg"
Close-Grip_EZ-Bar_Press,"Close-Grip_EZ-Bar_Press/0.jpg, Close-Grip_EZ-Bar_Press/1.jpg"
Close-Grip_EZ_Bar_Curl,"Close-Grip_EZ_Bar_Curl/0.jpg, Close-Grip_EZ_Bar_Curl/1.jpg"
Close-Grip_Front_Lat_Pulldown,"Close-Grip_Front_Lat_Pulldown/0.jpg, Close-Grip_Front_Lat_Pulldown/1.jpg"
Close-Grip_Push-Up_off_of_a_Dumbbell,"Close-Grip_Push-Up_off_of_a_Dumbbell/0.jpg, Close-Grip_Push-Up_off_of_a_Dumbbell/1.jpg"
Close-Grip_Standing_Barbell_Curl,"Close-Grip_Standing_Barbell_Curl/0.jpg, Close-Grip_Standing_Barbell_Curl/1.jpg"
Cocoons,"Cocoons/0.jpg, Cocoons/1.jpg"
Conans_Wheel,"Conans_Wheel/0.jpg, Conans_Wheel/1.jpg"
Concentration_Curls,"Concentration_Curls/0.jpg, Concentration_Curls/1.jpg"
Cross-Body_Crunch,"Cross-Body_Crunch/0.jpg, Cross-Body_Crunch/1.jpg"
Crossover_Reverse_Lunge,"Crossover_Reverse_Lunge/0.jpg, Crossover_Reverse_Lunge/1.jpg"
Cross_Body_Hammer_Curl,"Cross_Body_Hammer_Curl/0.jpg, Cross_Body_Hammer_Curl/1.jpg"
Cross_Over_-_With_Bands,"Cross_Over_-_With_Bands/0.jpg, Cross_Over_-_With_Bands/1.jpg"
Crucifix,"Crucifix/0.jpg, Crucifix/1.jpg"
Crunches,"Crunches/0.jpg, Crunches/1.jpg"
Crunch_-_Hands_Overhead,"Crunch_-_Hands_Overhead/0.jpg, Crunch_-_Hands_Overhead/1.jpg"
Crunch_-_Legs_On_Exercise_Ball,"Crunch_-_Legs_On_Exercise_Ball/0.jpg, Crunch_-_Legs_On_Exercise_Ball/1.jpg"
